Season,LookupKey,Rk,Player,PlayerID,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1617,1617Alex Abrines,1,Alex Abrines,abrinal01,SG,23,OKC,46,643,9.9,0.566,0.716,0.204,2.1,6.7,4.4,5.2,1.6,0.6,9.5,16,0.7,0.5,1.2,0.091,-0.6,-2.5,-3.1,-0.2,0,643,79,201,0.393,54,144,0.375,25,57,0.439,0.527,36,41,0.878,12,39,51,23,21,5,23,70,248
1617,1617Quincy Acy,2,Quincy Acy,acyqu01,PF,26,TOT,18,182,15.8,0.617,0.462,0.308,7.7,15.5,11.6,1.8,0.8,2.9,8.7,19.5,0.3,0.1,0.4,0.118,-0.8,-3.1,-4,-0.1,0,182,30,65,0.462,14,30,0.467,16,35,0.457,0.569,17,20,0.85,13,26,39,2,3,7,7,25,91
1617,1617Quincy Acy,2,Quincy Acy,acyqu01,PF,26,DAL,6,48,-1.4,0.355,0.412,0.176,4.6,15.4,9.8,0,0,0,9.8,20.1,-0.2,0,-0.1,-0.133,-10.1,-6.1,-16.2,-0.2,0,182,30,65,0.462,14,30,0.467,16,35,0.457,0.569,17,20,0.85,13,26,39,2,3,7,7,25,91
1617,1617Quincy Acy,2,Quincy Acy,acyqu01,PF,26,BRK,12,134,21.9,0.703,0.479,0.354,8.8,15.6,12.2,2.5,1.1,3.9,8.3,19.3,0.5,0.1,0.6,0.208,2.5,-2.1,0.4,0.1,0,182,30,65,0.462,14,30,0.467,16,35,0.457,0.569,17,20,0.85,13,26,39,2,3,7,7,25,91
1617,1617Steven Adams,3,Steven Adams,adamsst01,C,23,OKC,55,1695,17,0.6,0.004,0.369,12.6,15.9,14.2,5.6,1.7,2.8,16.3,16.8,2.5,2.2,4.7,0.133,-0.7,1.2,0.5,1.1,55,1695,276,482,0.573,0,2,0,276,480,0.575,0.573,120,178,0.674,192,245,437,61,60,60,109,131,672
1617,1617Arron Afflalo,4,Arron Afflalo,afflaar01,SG,31,SAC,49,1253,8.2,0.548,0.386,0.216,0.8,7.8,4.3,7.4,0.7,0.5,8.6,13.8,0.8,0.2,1,0.039,-1.8,-2.2,-3.9,-0.6,34,1253,137,319,0.429,48,123,0.39,89,196,0.454,0.505,61,69,0.884,9,84,93,61,18,6,33,87,383
1617,1617Alexis Ajinca,5,Alexis Ajinca,ajincal01,C,28,NOP,23,350,11,0.497,0.031,0.247,7.7,23.7,15.6,3,1.7,4,16.3,16.3,-0.2,0.6,0.4,0.049,-6.4,1.6,-4.8,-0.2,12,350,45,97,0.464,0,3,0,45,94,0.479,0.464,17,24,0.708,26,78,104,7,12,17,21,44,107
1617,1617Cole Aldrich,6,Cole Aldrich,aldrico01,C,28,MIN,51,472,13.3,0.553,0,0.284,11.4,24.3,17.7,7.3,2.5,3.8,13.5,9,0.7,0.7,1.3,0.135,-1.5,3.1,1.6,0.4,0,472,39,74,0.527,0,0,0,39,74,0.527,0.527,14,21,0.667,47,97,144,25,23,21,13,80,92
1617,1617LaMarcus Aldridge,7,LaMarcus Aldridge,aldrila01,PF,31,SAS,51,1649,18.9,0.541,0.052,0.305,8.4,17.1,12.8,10.6,0.9,2.9,8.2,24.6,2.9,2.6,5.4,0.158,0,1.1,1.1,1.3,51,1649,348,727,0.479,16,38,0.421,332,689,0.482,0.49,181,222,0.815,118,255,373,107,30,58,74,121,893
1617,1617Lavoy Allen,8,Lavoy Allen,allenla01,PF,27,IND,42,588,9.2,0.462,0.009,0.187,9.9,12.8,11.4,9.1,1.1,1.9,13.5,10.2,0.3,0.4,0.7,0.061,-2.6,1,-1.6,0.1,5,588,47,107,0.439,0,1,0,47,106,0.443,0.439,13,20,0.65,51,68,119,39,13,13,18,52,107
1617,1617Tony Allen,9,Tony Allen,allento01,SG,35,MEM,49,1366,12.9,0.489,0.074,0.251,9.3,13.8,11.5,7.1,3.3,1.7,13.7,17.8,-0.1,2.3,2.2,0.077,-2.3,2.9,0.6,0.9,47,1366,191,419,0.456,7,31,0.226,184,388,0.474,0.464,66,105,0.629,115,161,276,59,86,24,74,127,455
1617,1617Al-Farouq Aminu,10,Al-Farouq Aminu,aminual01,SF,26,POR,37,1075,10.5,0.476,0.466,0.228,4.3,24,14,10.1,1.7,1.8,14.8,15.5,-0.4,1,0.7,0.03,-2.7,1.2,-1.6,0.1,23,1075,108,294,0.367,42,137,0.307,66,157,0.42,0.439,50,67,0.746,43,230,273,77,37,24,56,67,308
1617,1617Chris Andersen,11,Chris Andersen,anderch01,C,38,CLE,12,114,11.6,0.497,0.136,0.636,8.9,20.7,15,5.9,2.2,4.9,15.1,12.8,0.1,0.2,0.3,0.109,-3.6,3.3,-0.3,0,0,114,9,22,0.409,0,3,0,9,19,0.474,0.409,10,14,0.714,9,22,31,5,5,7,5,20,28
1617,1617Alan Anderson,12,Alan Anderson,anderal01,SF,34,LAC,23,266,4.6,0.472,0.557,0.171,1.3,8.1,4.8,5.7,0.6,0,8.5,13.8,-0.1,0.1,0.1,0.009,-3,-2.1,-5.1,-0.2,0,266,25,70,0.357,12,39,0.308,13,31,0.419,0.443,9,12,0.75,3,20,23,11,3,0,7,27,71
1617,1617Justin Anderson,13,Justin Anderson,anderju01,SF,23,DAL,51,710,15,0.523,0.442,0.319,6.1,19.1,12.3,7.6,2.1,2,11.3,23.7,0.2,0.9,1.1,0.071,-1.7,-0.2,-1.9,0,2,710,111,276,0.402,37,122,0.303,74,154,0.481,0.469,70,88,0.795,39,110,149,32,28,16,40,64,329
